date,weight,P_cp,vol_guard_cap,ed_accel_signal,spread_signal,fisher_rho_signal,lambda_macro,s_t,sigma2_spread,roll_threshold,momentum_lockout,qqq_price,qqq_sma200
2021-06-21,0.9611151766664883,0.005980175363132025,1.9999999999999991,-0.004129793386357994,-1.2220202983286519,-0.2508569519465213,0.0059791666666666665,0.006170857756571109,0.524891325314062,1.0,False,334.5649719238281,301.4607791900635
2021-06-22,0.9611151766664883,0.005834412542499281,1.9999999999999991,-0.00550879186069797,-1.4735701203143736,-0.28656855456669056,0.0058333333333333345,0.006143942139445363,0.5267110002294659,1.0,False,337.6836853027344,301.758920211792
2021-06-23,0.9611151766664883,0.00583441008042436,1.9999999999999991,-0.00514120352402081,-1.5346098096225689,-0.37270985184474587,0.0058333333333333345,0.006119179574723683,0.5291740024675937,1.0,False,337.84881591796875,302.0764138031006
2021-06-24,0.9611151766664883,0.006028950063645275,1.9999999999999991,-0.0006205049857462841,-1.6016134075244004,-0.3996191606673107,0.006027777777777778,0.00611196121383741,0.5323864638843503,1.0,False,339.9376220703125,302.47028297424316
2021-06-25,0.9611151766664883,0.006306890481684691,1.9999999999999991,-0.00043910416431114374,-1.665132893509816,-0.4106690472543887,0.006305555555555556,0.006209425847761051,0.5363357605622459,1.0,False,339.51983642578125,302.8237036895752
2021-06-28,0.9611151766664883,0.00629994500709926,1.9999999999999991,-0.00019931702081765756,-1.629781032785677,-0.44027413853829006,0.006298611111111112,0.006254685427430155,0.5396868638014497,1.0,False,343.6489562988281,303.2245682525635
2021-06-29,0.9611151766664883,0.006313766912145329,1.9999999999999991,-0.0012064637988347116,-1.562955660655428,-0.47866153133023726,0.0063125,0.0062842261697877416,0.5420807912320458,1.0,False,344.892578125,303.6407935333252
2021-06-30,0.9611151766664883,0.006230443499168932,1.9999999999999991,-0.0012190819999907676,-1.5912243738590275,-0.5021327195217469,0.006229166666666667,0.006279923556138238,0.5447296154511143,1.0,False,344.34844970703125,304.03151466369627
2021-07-01,0.9611151766664883,0.00732797641275194,1.9999999999999991,-0.002806675340773057,-1.651262485535246,-0.5117555719663311,0.007326388888888889,0.006803949984445089,0.5480468853821909,1.0,False,344.4845886230469,304.4040509796143
2021-07-02,0.9611151766664883,0.007321323135457119,1.9999999999999991,-0.010853798820393612,-1.7220497355174278,-0.47146149155465955,0.007319444444444444,0.0070626365599511035,0.5522079092136448,1.0,False,348.43878173828125,304.81788414001466
