date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2022-11-22,0.33916081419095806,0.5684785494346246,0.3928885764778711,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,279.8619079589844
2022-11-23,0.33916081419095806,0.570891501777316,0.40618248552135816,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,282.6707458496094
2022-11-24,0.33916081419095806,0.5951330210336135,0.46234951896172277,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,282.6707458496094
2022-11-25,0.33916081419095806,0.5342186288978049,0.2733284703871834,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,280.811279296875
2022-11-28,0.33916081419095806,0.5317108802710042,0.25756392477130813,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,276.69091796875
2022-11-29,0.33916081419095806,0.526157661355011,0.22188603880604804,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,274.5964660644531
2022-11-30,0.33916081419095806,0.5391582319897776,0.28584543268433527,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,287.1141357421875
2022-12-01,0.33916081419095806,0.532651174014525,0.2634073829266623,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,287.46649169921875
2022-12-02,0.33916081419095806,0.8231471315588053,0.7938097827108448,RECOVERY,BUST,RECOVERY,BUST,DEPLOY_PAUSE,False,CASH,286.32135009765625
2022-12-05,0.33916081419095806,0.6615002812542936,0.6859017481402966,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,281.5158996582031
2022-12-06,0.33916081419095806,0.8474730262388405,0.7830954131698756,RECOVERY,BUST,RECOVERY,BUST,DEPLOY_PAUSE,False,CASH,275.682861328125
2022-12-07,0.33916081419095806,0.6247688482110013,0.6048851668554963,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,274.55731201171875
2022-12-08,0.33916081419095806,0.5575970956226614,0.3702578159895704,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,277.8066101074219
2022-12-09,0.33916081419095806,0.5970390117515364,0.5241196961339148,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,276.03515625
2022-12-12,0.33916081419095806,0.6114540558077695,0.586524238660316,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,279.4998474121094
2022-12-13,0.33916081419095806,0.6212690772082304,0.6287934549092578,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,282.5044250488281
2022-12-14,0.33916081419095806,0.6025334325858948,0.5732886255337557,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,280.4100036621094
