date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-12-13,0.3144133759444759,0.6753043449577206,0.4903937320919962,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,BUST,DEPLOY_SLOW,False,CASH,157.35934448242188,0.584152484672802,0.3457771028191682,1.9861339384108875e-18,0.584152484672802,0.41574984940073134,9.766592646663062e-05
2018-12-14,0.3144133759444759,0.7024890289899405,0.46509788251417317,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,153.5277862548828,0.6712469809681489,0.21494220721341642,4.893293238374185e-18,0.6712469809681489,0.3268947945326914,0.0018582244991596332
2018-12-17,0.3144133759444759,0.6886711004204288,0.47792016088839295,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,150.04893493652344,0.6282423120914397,0.27616191156533487,4.361865337954487e-19,0.6282423120914397,0.3714270099202323,0.000330677988328016
2018-12-18,0.3144133759444759,0.644187906726761,0.5068326544574094,BUST,LATE_CYCLE,BUST,LATE_CYCLE,DEPLOY_SLOW,False,CASH,150.99258422851562,0.47755703823990053,0.5442944636067112,4.3697166870567895e-22,0.47755703823990053,0.5209083030021148,0.0015346587579847092
2018-12-19,0.3144133759444759,0.6310805391207926,0.4950440113087008,BUST,LATE_CYCLE,BUST,LATE_CYCLE,DEPLOY_SLOW,False,CASH,147.284912109375,0.4366871521445413,0.6345030705258857,1.1092551896840705e-24,0.4366871521445413,0.5631888587264084,0.00012398912905032015
2018-12-20,0.3144133759444759,0.6091206890243159,0.478925385860454,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,145.14996337890625,0.360933411797106,0.8150253304501087,1.4711449267193682e-27,0.360933411797106,0.6376654790609207,0.001401109141973389
2018-12-21,0.3144133759444759,0.5593383961295579,0.35880973516069437,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,140.6512451171875,0.19777674421339583,1.287109936951142,2.2969332869287707e-33,0.19777674421339583,0.8022143010107055,8.954775898696007e-06
2018-12-24,0.3144133759444759,0.5622090143979369,0.36905537132105626,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,137.1633758544922,0.20701391578518977,1.2573767992686213,6.804258722692002e-35,0.20701391578518977,0.7928113514441769,0.00017473277063330078
2018-12-25,0.3144133759444759,0.5555491328819765,0.3457401073666127,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_SLOW,False,CASH,137.1633758544922,0.18512621500048584,1.328007963967783,6.274264547226349e-36,0.18512621500048584,0.81485500436313,1.8780636384341972e-05
2018-12-26,0.3144133759444759,0.5633401256725482,0.3719387829033301,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,CASH,145.72769165039062,0.2110980576292072,1.2447043904406438,6.815590735843553e-36,0.2110980576292072,0.7888840950644828,1.7847306310081294e-05
2018-12-27,0.3144133759444759,0.5857719640210529,0.43204054480560394,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,CASH,146.2916717529297,0.2857927453249274,1.0201027339424065,6.205506009751289e-34,0.2857927453249274,0.7141503539691149,5.690070595780371e-05
